Approved name	Status	Previous symbols	Chromosome	Accession numbers	RefSeq IDs	OMIM ID(supplied by OMIM)	Ensembl ID(supplied by Ensembl)	NCBI Gene ID(supplied by NCBI)
immunoglobulin heavy variable 3-11 (gene/pseudogene)	Approved		14q32.33	M99652	NG_001019		ENSG00000211941	28450
immunoglobulin heavy variable 3-13	Approved		14q32.33	X92217	NG_001019		ENSG00000211942	28449
immunoglobulin heavy variable 3-15	Approved		14q32.33	X92216	NG_001019		ENSG00000211943	28448
immunoglobulin heavy variable 3-16 (non-functional)	Approved		14q32.33	M99655	NG_001019		ENSG00000211944	28447
immunoglobulin heavy variable 3-19 (pseudogene)	Approved		14q32.33	M99656	NG_001019		ENSG00000253883	28446
immunoglobulin heavy variable 3-20	Approved		14q32.33	M99657	NG_001019		ENSG00000211946	28445
immunoglobulin heavy variable 3-21	Approved		14q32.33	Z14073	NG_001019		ENSG00000211947	28444
immunoglobulin heavy variable 3-22 (pseudogene)	Approved		14q32.33	M99659	NG_001019		ENSG00000253957	28443
immunoglobulin heavy variable 3-23	Approved		14q32.33	M99660	NG_001019	611939	ENSG00000211949	28442
immunoglobulin heavy variable 3-25 (pseudogene)	Approved		14q32.33	M99661	NG_001019		ENSG00000253441	28441
immunoglobulin heavy variable 3-29 (pseudogene)	Approved		14q32.33	M99662	NG_001019		ENSG00000270474	28440
immunoglobulin heavy variable 3-30	Approved		14q32.33	M83134	NG_001019		ENSG00000270550	28439
immunoglobulin heavy variable 3-30-2 (pseudogene)	Approved		14q32.33	AB019439	NG_001019		ENSG00000253587	28438
immunoglobulin heavy variable 3-30-3	Approved		14q32.33 not on reference assembly	X92283				57290
immunoglobulin heavy variable 3-30-5	Approved		14q32.33 not on reference assembly	M83134				89770
immunoglobulin heavy variable 3-32 (pseudogene)	Approved		14q32.33	M99664	NG_001019		ENSG00000254289	28435
immunoglobulin heavy variable 3-33	Approved		14q32.33	L06618	NG_001019		ENSG00000211955	28434
immunoglobulin heavy variable 3-33-2 (pseudogene)	Approved		14q32.33	AB019439	NG_001019		ENSG00000253440	28433
immunoglobulin heavy variable 3-35 (non-functional)	Approved		14q32.33	M99666	NG_001019		ENSG00000211957	28432
immunoglobulin heavy variable 3-36 (pseudogene)	Approved		14q32.33	M99667	NG_001019		ENSG00000253240	28431
immunoglobulin heavy variable 3-37 (pseudogene)	Approved		14q32.33	M99668	NG_001019		ENSG00000253359	28430
immunoglobulin heavy variable 3-38 (non-functional)	Approved		14q32.33	M99669	NG_001019		ENSG00000211958	28429
immunoglobulin heavy variable 3-38-3 (non-functional)	Approved	IGHV3-D	14q32.33 not on reference assembly	KF698732				28404
immunoglobulin heavy variable 3-41 (pseudogene)	Approved		14q32.33	M99670	NG_001019		ENSG00000278473	28428
immunoglobulin heavy variable 3-42 (pseudogene)	Approved		14q32.33	M99671	NG_001019		ENSG00000254228	28427
immunoglobulin heavy variable 3-43	Approved		14q32.33	M99672	NG_001019		ENSG00000232216	28426
immunoglobulin heavy variable 3-43D	Approved		14q32.33 not on reference assembly	KC713950				103106901
immunoglobulin heavy variable 3-47 (pseudogene)	Approved		14q32.33	Z18900	NG_001019		ENSG00000229092	28425
immunoglobulin heavy variable 3-48	Approved		14q32.33	M99675	NG_001019		ENSG00000211964	28424
immunoglobulin heavy variable 3-49	Approved		14q32.33	M99676	NG_001019		ENSG00000211965	28423
immunoglobulin heavy variable 3-50 (pseudogene)	Approved		14q32.33	M99677	NG_001019		ENSG00000253241	28422
immunoglobulin heavy variable 3-52 (pseudogene)	Approved		14q32.33	M99678	NG_001019		ENSG00000253545	28421
immunoglobulin heavy variable 3-53	Approved		14q32.33	M99679	NG_001019		ENSG00000211967	28420
immunoglobulin heavy variable 3-54 (pseudogene)	Approved		14q32.33	M99680	NG_001019		ENSG00000275475	28419
immunoglobulin heavy variable 3-57 (pseudogene)	Approved		14q32.33	M29815	NG_001019		ENSG00000253759	28418
immunoglobulin heavy variable 3-60 (pseudogene)	Approved		14q32.33	M29813	NG_001019		ENSG00000253742	28417
immunoglobulin heavy variable 3-62 (pseudogene)	Approved		14q32.33	M29814	NG_001019		ENSG00000253132	28416
immunoglobulin heavy variable 3-63 (pseudogene)	Approved		14q32.33	M99681	NG_001019		ENSG00000253936	28415
immunoglobulin heavy variable 3-64	Approved		14q32.33	M99682	NG_001019		ENSG00000223648	28414
immunoglobulin heavy variable 3-64D	Approved		14q32.33	KC713941			ENSG00000282639	102723170
immunoglobulin heavy variable 3-65 (pseudogene)	Approved		14q32.33	Z27503	NG_001019		ENSG00000253209	28413
immunoglobulin heavy variable 3-66	Approved		14q32.33	X92218	NG_001019		ENSG00000211972	28412
immunoglobulin heavy variable 3-69-1 (pseudogene)	Approved	IGHV3-H	14q32.33	AJ879484			ENSG00000282600	28402
immunoglobulin heavy variable 3-71 (pseudogene)	Approved	IGHV3-G	14q32.33	AB019437	NG_001019		ENSG00000254056	28411
immunoglobulin heavy variable 3-72	Approved		14q32.33	X92206	NG_001019		ENSG00000225698	28410
immunoglobulin heavy variable 3-73	Approved		14q32.33	Z27508	NG_001019		ENSG00000211976	28409
immunoglobulin heavy variable 3-74	Approved		14q32.33	Z12353	NG_001019		ENSG00000224650	28408
immunoglobulin heavy variable 3-75 (pseudogene)	Approved		14q32.33	Z27510	NG_001019		ENSG00000254176	28407
immunoglobulin heavy variable 3-76 (pseudogene)	Approved		14q32.33	Z12341	NG_001019		ENSG00000253247	28406
immunoglobulin heavy variable 3-79 (pseudogene)	Approved		14q32.33	AB019437	NG_001019		ENSG00000275747	28405
symbol withdrawn, see IGHV3-71	Symbol Withdrawn							
immunoglobulin heavy variable 3/OR15-7 (pseudogene)	Approved		15q11.2	Z29597			ENSG00000259490	28318
immunoglobulin heavy variable 3/OR16-6 (pseudogene)	Approved		16p11.2	L25545			ENSG00000270864	647187
immunoglobulin heavy variable 3/OR16-7 (pseudogene)	Approved		16p11.2	Z29604			ENSG00000271620	28309
immunoglobulin heavy variable 3/OR16-8 (non-functional)	Approved		16p11.2	Z29605			ENSG00000271130	388255
immunoglobulin heavy variable 3/OR16-9 (non-functional)	Approved		16p11.2	Z29606			ENSG00000270472	28307
immunoglobulin heavy variable 3/OR16-10 (non-functional)	Approved		16p11.2	Z29607			ENSG00000233732	28306
immunoglobulin heavy variable 3/OR16-11 (pseudogene)	Approved		16p11.2	Z29608			ENSG00000270318	28305
immunoglobulin heavy variable 3/OR16-12 (non-functional)	Approved		16p11.2	Z29609			ENSG00000270467	28304
immunoglobulin heavy variable 3/OR16-13 (non-functional)	Approved		16p11.2	Z29610	NG_011771		ENSG00000271178	100287372
immunoglobulin heavy variable 3/OR16-14 (pseudogene)	Approved		16p11.2	Z29611				100568447
immunoglobulin heavy variable 3/OR16-15 (pseudogene)	Approved		16p11.2	L25546			ENSG00000261834	28301
immunoglobulin heavy variable 3/OR16-16 (pseudogene)	Approved		16p11.2	Z29613			ENSG00000259842	28300
immunoglobulin heavy variable 4-4	Approved		14q32.33	X62112	NG_001019		ENSG00000276775	28401
immunoglobulin heavy variable 4-28	Approved		14q32.33	X05714	NG_001019		ENSG00000211952	28400
immunoglobulin heavy variable 4-30-1	Approved		14q32.33	L10098				28399
immunoglobulin heavy variable 4-30-2	Approved		14q32.33	L10089				28398
immunoglobulin heavy variable 4-30-4	Approved		14q32.33 not on reference assembly	Z14238				28397
immunoglobulin heavy variable 4-31	Approved		14q32.33 not on reference assembly	L10098	NG_001019		ENSG00000231475	28396
immunoglobulin heavy variable 4-34	Approved		14q32.33	X92278	NG_001019		ENSG00000211956	28395
immunoglobulin heavy variable 4-38-2	Approved	IGHV4-B	14q32.33 not on reference assembly	Z12367				28389
immunoglobulin heavy variable 4-39	Approved		14q32.33	L10094	NG_001019		ENSG00000211959	28394
immunoglobulin heavy variable 4-55 (pseudogene)	Approved		14q32.33	M99685	NG_001019		ENSG00000254395	28393
immunoglobulin heavy variable 4-59	Approved		14q32.33	L10088	NG_001019		ENSG00000224373	28392
immunoglobulin heavy variable 4-61	Approved		14q32.33	M29811	NG_001019		ENSG00000211970	28391
immunoglobulin heavy variable 4-80 (pseudogene)	Approved		14q32.33	AB019437	NG_001019		ENSG00000283906	28390
immunoglobulin heavy variable 4/OR15-8 (non-functional)	Approved	VSIG6	15q11.2	Z29598			ENSG00000259261	28317
immunoglobulin heavy variable 5-10-1	Approved	IGHV5-A	14q32.33	X92227	NG_001019		ENSG00000282651	28386
immunoglobulin heavy variable 5-51	Approved		14q32.33	M99686	NG_001019		ENSG00000211966	28388
immunoglobulin heavy variable 5-78 (pseudogene)	Approved		14q32.33	X92213	NG_001019		ENSG00000211978	28387
immunoglobulin heavy variable 6-1	Approved		14q32.33	X92224	NG_001019		ENSG00000211933	28385
immunoglobulin heavy variable 7-4-1	Approved		14q32.33	L10057	NG_001019		ENSG00000282122	57289
immunoglobulin heavy variable 7-27 (pseudogene)	Approved		14q32.33	M99643	NG_001019		ENSG00000254326	28383
immunoglobulin heavy variable 7-34-1 (pseudogene)	Approved		14q32.33	AB019439	NG_001019		ENSG00000253325	28382
immunoglobulin heavy variable 7-40 (pseudogene)	Approved		14q32.33	M99644	NG_001019		ENSG00000253467	28381
immunoglobulin heavy variable 7-56 (pseudogene)	Approved		14q32.33	M29810	NG_001019		ENSG00000253131	28380
immunoglobulin heavy variable 7-81 (non-functional)	Approved		14q32.33	Z27509	NG_001019		ENSG00000211979	28378
immunoglobulin heavy variable (II)-1-1 (pseudogene)	Approved		14q32.33	AB019441	NG_001019		ENSG00000254279	28377
immunoglobulin heavy variable (II)-15-1 (pseudogene)	Approved		14q32.33	AB019440	NG_001019		ENSG00000253458	28376
immunoglobulin heavy variable (II)-20-1 (pseudogene)	Approved		14q32.33	AB019440	NG_001019			28375
immunoglobulin heavy variable (II)-22-1 (pseudogene)	Approved		14q32.33	AB019439	NG_001019		ENSG00000253345	28374
immunoglobulin heavy variable (II)-26-2 (pseudogene)	Approved		14q32.33	AB019439	NG_001019		ENSG00000253482	28373
immunoglobulin heavy variable (II)-28-1 (pseudogene)	Approved		14q32.33	AB019439	NG_001019		ENSG00000253149	28372
immunoglobulin heavy variable (II)-30-1 (pseudogene)	Approved		14q32.33	AB019439	NG_001019		ENSG00000253491	28371
immunoglobulin heavy variable (II)-30-21 (pseudogene)	Approved		14q32.33		NG_001019		ENSG00000283607	107548099
immunoglobulin heavy variable (II)-31-1 (pseudogene)	Approved		14q32.33 not on reference assembly	AB019439				28370
immunoglobulin heavy variable (II)-33-1 (pseudogene)	Approved		14q32.33	AB019439	NG_001019		ENSG00000254203	28369
immunoglobulin heavy variable (II)-40-1 (pseudogene)	Approved		14q32.33	AB019438	NG_001019		ENSG00000253294	28368
immunoglobulin heavy variable (II)-43-1 (pseudogene)	Approved		14q32.33	AB019438	NG_001019		ENSG00000283195	28367
immunoglobulin heavy variable (II)-44-2 (pseudogene)	Approved		14q32.33	AB019438	NG_001019		ENSG00000253895	28366
immunoglobulin heavy variable (II)-46-1 (pseudogene)	Approved		14q32.33	AB019438	NG_001019		ENSG00000253808	28365
immunoglobulin heavy variable (II)-49-1 (pseudogene)	Approved		14q32.33	AB019438	NG_001019		ENSG00000253386	28364
immunoglobulin heavy variable (II)-51-2 (pseudogene)	Approved		14q32.33	AB019438	NG_001019		ENSG00000253941	28363
immunoglobulin heavy variable (II)-53-1 (pseudogene)	Approved		14q32.33	AB019438	NG_001019		ENSG00000253714	28362
immunoglobulin heavy variable (II)-60-1 (pseudogene)	Approved		14q32.33	AB019437	NG_001019		ENSG00000254329	28361
immunoglobulin heavy variable (II)-62-1 (pseudogene)	Approved		14q32.33	AB019437	NG_001019		ENSG00000253747	28360
immunoglobulin heavy variable (II)-65-1 (pseudogene)	Approved		14q32.33	AB019437	NG_001019		ENSG00000253169	28359
immunoglobulin heavy variable (II)-67-1 (pseudogene)	Approved		14q32.33	AB019437	NG_001019		ENSG00000253820	28358
immunoglobulin heavy variable (II)-74-1 (pseudogene)	Approved		14q32.33	AB019437	NG_001019		ENSG00000254134	28357
immunoglobulin heavy variable (II)-78-1 (pseudogene)	Approved		14q32.33	AB019437	NG_001019		ENSG00000253674	28356
immunoglobulin heavy variable (III)-2-1 (pseudogene)	Approved		14q32.33	AB019441	NG_001019		ENSG00000253780	28355
immunoglobulin heavy variable (III)-5-1 (pseudogene)	Approved		14q32.33	AB019440	NG_001019		ENSG00000253387	28354
immunoglobulin heavy variable (III)-5-2 (pseudogene)	Approved		14q32.33	AB019440	NG_001019		ENSG00000254053	28353
immunoglobulin heavy variable (III)-11-1 (pseudogene)	Approved		14q32.33	AB019440	NG_001019		ENSG00000254215	28352
immunoglobulin heavy variable (III)-13-1 (pseudogene)	Approved		14q32.33	AB019440	NG_001019		ENSG00000253412	28351
immunoglobulin heavy variable (III)-16-1 (pseudogene)	Approved		14q32.33	AB019440	NG_001019		ENSG00000283948	28350
immunoglobulin heavy variable (III)-22-2 (pseudogene)	Approved		14q32.33	AB019439	NG_001019		ENSG00000254045	28349
immunoglobulin heavy variable (III)-25-1 (pseudogene)	Approved		14q32.33	AB019439	NG_001019		ENSG00000253367	28348
immunoglobulin heavy variable (III)-26-1 (pseudogene)	Approved		14q32.33	AB019439	NG_001019		ENSG00000253462	28347
immunoglobulin heavy variable (III)-38-1 (pseudogene)	Approved		14q32.33	AB019439	NG_001019		ENSG00000253989	28346
immunoglobulin heavy variable (III)-44 (pseudogene)	Approved		14q32.33	M99673	NG_001019		ENSG00000283562	28345
immunoglobulin heavy variable (III)-47-1 (pseudogene)	Approved		14q32.33	AB019438	NG_001019		ENSG00000253862	28344
immunoglobulin heavy variable (III)-51-1 (pseudogene)	Approved		14q32.33	AB019438	NG_001019		ENSG00000254167	28343
immunoglobulin heavy variable (III)-67-2 (pseudogene)	Approved		14q32.33	AB019437	NG_001019		ENSG00000254036	28342
immunoglobulin heavy variable (III)-67-3 (pseudogene)	Approved		14q32.33	AB019437	NG_001019		ENSG00000253635	28341
immunoglobulin heavy variable (III)-67-4 (pseudogene)	Approved		14q32.33	AB019437	NG_001019		ENSG00000254052	28340
immunoglobulin heavy variable (III)-76-1 (pseudogene)	Approved		14q32.33	AB019437	NG_001019		ENSG00000253310	28339
immunoglobulin heavy variable (III)-82 (pseudogene)	Approved		14q32.33	AB019437	NG_001019		ENSG00000253303	28338
immunoglobulin heavy variable (IV)-44-1 (pseudogene)	Approved		14q32.33	AB019438	NG_001019		ENSG00000253465	28337
IgA inducing protein	Approved	C5orf53	5q31.3	AB073888, BC017422, BC041380	NM_001007189		ENSG00000182700	492311
immunoglobulin kappa locus	Approved	IGK@	2p11.2		NG_000833			50802
immunoglobulin kappa constant	Approved		2p11.2	J00241	NG_000834	147200	ENSG00000211592	3514
immunoglobulin kappa deleting element or like	Approved	IGKDE	2q11-q13	X03957		146780		3515
immunoglobulin kappa joining 1	Approved		2p11.2	J00242	NG_000834		ENSG00000211597	28950
immunoglobulin kappa joining 2	Approved		2p11.2	J00242	NG_000834		ENSG00000211596	28949
immunoglobulin kappa joining 3	Approved		2p11.2	J00242	NG_000834		ENSG00000211595	28948
immunoglobulin kappa joining 4	Approved		2p11.2	J00242	NG_000834		ENSG00000211594	28947
immunoglobulin kappa joining 5	Approved		2p11.2	J00242	NG_000834		ENSG00000211593	28946
symbol withdrawn, see RBPJ	Symbol Withdrawn							
symbol withdrawn, see RBPJP1	Symbol Withdrawn							
symbol withdrawn, see RBPJP2	Symbol Withdrawn							
immunoglobulin kappa variable 1-5	Approved		2p11.2	Z00001	NG_000834		ENSG00000243466	28299
immunoglobulin kappa variable 1-6	Approved		2p11.2	M64858	NG_000834		ENSG00000239855	28943
immunoglobulin kappa variable 1-8	Approved		2p11.2	Z00014	NG_000834		ENSG00000240671	28942
immunoglobulin kappa variable 1-9	Approved		2p11.2	Z00013	NG_000834		ENSG00000241755	28941
immunoglobulin kappa variable 1-12	Approved		2p11.2	V01577	NG_000834		ENSG00000243290	28940
immunoglobulin kappa variable 1-13 (gene/pseudogene)	Approved		2p11.2	Z00010	NG_000834		ENSG00000253497	28939
immunoglobulin kappa variable 1-16	Approved		2p11.2	J00248	NG_000834		ENSG00000240864	28938
immunoglobulin kappa variable 1-17	Approved		2p11.2	X72808	NG_000834		ENSG00000240382	28937
immunoglobulin kappa variable 1-22 (pseudogene)	Approved		2p11.2	X71885	NG_000834		ENSG00000253578	28936
immunoglobulin kappa variable 1-27	Approved		2p11.2	X63398	NG_000834		ENSG00000244575	28935
immunoglobulin kappa variable 1-32 (pseudogene)	Approved		2p11.2	X71883	NG_000834		ENSG00000253870	28934
immunoglobulin kappa variable 1-33	Approved		2p11.2	M64856	NG_000834		ENSG00000242076	28933
immunoglobulin kappa variable 1-35 (pseudogene)	Approved		2p11.2	X71890	NG_000834		ENSG00000253461	28932
immunoglobulin kappa variable 1-37 (non-functional)	Approved		2p11.2	X59316	NG_000834		ENSG00000239862	28931
immunoglobulin kappa variable 1-39 (gene/pseudogene)	Approved		2p11.2	X59315	NG_000834		ENSG00000242371	28930
symbol withdrawn, see IGKV@	Symbol Withdrawn							
immunoglobulin kappa variable 1D-8	Approved		2p11.2	Z00008	NG_000833		ENSG00000239819	28904
immunoglobulin kappa variable 1D-12	Approved		2p11.2	X17263	NG_000833		ENSG00000278857	28903
immunoglobulin kappa variable 1D-13	Approved		2p11.2	X17262	NG_000833		ENSG00000276566	28902
immunoglobulin kappa variable 1D-16	Approved		2p11.2	K01323	NG_000833		ENSG00000241244	28901
immunoglobulin kappa variable 1D-17	Approved		2p11.2	X63392	NG_000833		ENSG00000242766	28900
immunoglobulin kappa variable 1D-22 (pseudogene)	Approved		2p11.2	X71887	NG_000833		ENSG00000253365	28899
immunoglobulin kappa variable 1D-27 (pseudogene)	Approved		2p11.2	Z00004	NG_000833		ENSG00000224607	28898
immunoglobulin kappa variable 1D-32 (pseudogene)	Approved		2p11.2	X71896	NG_000833		ENSG00000253191	28897
immunoglobulin kappa variable 1D-33	Approved		2p11.2	M64855	NG_000833		ENSG00000239975	28896
immunoglobulin kappa variable 1D-35 (pseudogene)	Approved		2p11.2	X71894	NG_000833		ENSG00000232747	28895
immunoglobulin kappa variable 1D-37 (non-functional)	Approved		2p11.2	X71893	NG_000833		ENSG00000250036	28894
immunoglobulin kappa variable 1D-39	Approved		2p11.2	X59312	NG_000833		ENSG00000251546	28893
immunoglobulin kappa variable 1D-42 (non-functional)	Approved		2p11.2	X72816	NG_000833		ENSG00000211633	28892
immunoglobulin kappa variable 1D-43	Approved		2p11.2	X72817	NG_000833		ENSG00000242580	28891
immunoglobulin kappa variable 1/OR-2 (pseudogene)	Approved	IGKVPZ2	9q13	X64640	NG_011657		ENSG00000156755	3532
immunoglobulin kappa variable 1/OR-3 (pseudogene)	Approved	IGKVPZ3	9q12	X64641			ENSG00000204776	644731
immunoglobulin kappa variable 1/OR-4 (pseudogene)	Approved	IGKVPZ4	reserved	X64642				3534
immunoglobulin kappa variable 1/OR1-1 (pseudogene)	Approved	IGKVP1	1q21.1	M20809	NG_011766		ENSG00000276674	3525
immunoglobulin kappa variable 1/OR2-0 (non-functional)	Approved		2p11.2	Y08392				28867
immunoglobulin kappa variable 1/OR2-1 (pseudogene)	Approved	IGKVPZ1, IGKV1OR-1	2p11.1	Z12367			ENSG00000235235	3531
immunoglobulin kappa variable 1/OR2-2 (pseudogene)	Approved		2p11.1				ENSG00000223816	106481689
immunoglobulin kappa variable 1/OR2-3 (pseudogene)	Approved		2q11.2	X05102			ENSG00000204670	28866
immunoglobulin kappa variable 1/OR2-6 (pseudogene)	Approved		2q11.2	X05103			ENSG00000271569	28865
immunoglobulin kappa variable 1/OR2-9 (pseudogene)	Approved		2q11.2	X51879			ENSG00000271351	28864
immunoglobulin kappa variable 1/OR2-11 (pseudogene)	Approved		2q11.2	X51885			ENSG00000270187	28863
immunoglobulin kappa variable 1/OR2-108 (non-functional)	Approved		2q12-q14	X51887		147185	ENSG00000231292	28862
immunoglobulin kappa variable 1/OR2-118 (pseudogene)	Approved		2p11.2		NG_011659		ENSG00000270999	339562
immunoglobulin kappa variable 1/OR9-1 (pseudogene)	Approved		9q21.11				ENSG00000204780	103352540
immunoglobulin kappa variable 1/OR9-2 (pseudogene)	Approved		9p12				ENSG00000225380	106480274
immunoglobulin kappa variable 1/OR10-1 (pseudogene)	Approved		10q11.21				ENSG00000237592	642424
immunoglobulin kappa variable 1/OR15-118 (pseudogene)	Approved	IGKVP2	15 not on reference assembly					100312985
immunoglobulin kappa variable 1/OR22-1 (pseudogene)	Approved	IGKVP5	22q11.1	Z00040	NG_011658		ENSG00000253481	3530
immunoglobulin kappa variable 1/OR22-5 (pseudogene)	Approved	IGKVP7, IGKV1OR22-5A	22q11	Z00003			ENSG00000230481	28850
immunoglobulin kappa variable 1/ORY-1 (pseudogene)	Approved		Yq11.21					439957
immunoglobulin kappa variable 2-4 (pseudogene)	Approved		2p11.2	X72814	NG_000834		ENSG00000253435	28929
immunoglobulin kappa variable 2-10 (pseudogene)	Approved		2p11.2	Z00012	NG_000834		ENSG00000253278	28928
immunoglobulin kappa variable 2-14 (pseudogene)	Approved		2p11.2	X72810	NG_000834		ENSG00000253265	28927
immunoglobulin kappa variable 2-18 (pseudogene)	Approved		2p11.2	X63400	NG_000834		ENSG00000254157	28926
immunoglobulin kappa variable 2-19 (pseudogene)	Approved		2p11.2	X12692	NG_000834		ENSG00000253732	28925
immunoglobulin kappa variable 2-23 (pseudogene)	Approved		2p11.2	X71885	NG_000834		ENSG00000253625	28924
immunoglobulin kappa variable 2-24	Approved		2p11.2	X12684	NG_000834		ENSG00000241294	28923
immunoglobulin kappa variable 2-26 (pseudogene)	Approved		2p11.2	X71884	NG_000834		ENSG00000254098	28922
immunoglobulin kappa variable 2-28	Approved		2p11.2	X63397	NG_000834		ENSG00000244116	28921
immunoglobulin kappa variable 2-29 (gene/pseudogene)	Approved		2p11.2	X63396	NG_000834		ENSG00000253998	28920
immunoglobulin kappa variable 2-30	Approved		2p11.2	X63403	NG_000834		ENSG00000243238	28919
immunoglobulin kappa variable 2-36 (pseudogene)	Approved		2p11.2	X71889	NG_000834		ENSG00000253487	28918
immunoglobulin kappa variable 2-38 (pseudogene)	Approved		2p11.2	X71888	NG_000834		ENSG00000253592	28917
immunoglobulin kappa variable 2-40	Approved		2p11.2	X59314	NG_000834		ENSG00000273962	28916
immunoglobulin kappa variable 2D-10 (pseudogene)	Approved		2p11.2	X17265	NG_000833		ENSG00000253906	28890
immunoglobulin kappa variable 2D-14 (pseudogene)	Approved		2p11.2	X72811	NG_000833		ENSG00000254292	28889
immunoglobulin kappa variable 2D-18 (pseudogene)	Approved		2p11.2	X63395	NG_000833		ENSG00000254220	28888
immunoglobulin kappa variable 2D-19 (pseudogene)	Approved		2p11.2	X71882	NG_000833		ENSG00000253765	28887
immunoglobulin kappa variable 2D-23 (pseudogene)	Approved		2p11.2	X71887	NG_000833		ENSG00000254345	28886
immunoglobulin kappa variable 2D-24 (non-functional)	Approved		2p11.2	X63401	NG_000833		ENSG00000241566	28885
immunoglobulin kappa variable 2D-26	Approved		2p11.2	X12689	NG_000833		ENSG00000211623	28884
immunoglobulin kappa variable 2D-28	Approved		2p11.2	X12691	NG_000833		ENSG00000242534	28883
immunoglobulin kappa variable 2D-29	Approved		2p11.2	M31952	NG_000833		ENSG00000243264	28882
immunoglobulin kappa variable 2D-30	Approved		2p11.2	X63402	NG_000833		ENSG00000239571	28881
immunoglobulin kappa variable 2D-36 (pseudogene)	Approved		2p11.2	X71893	NG_000833		ENSG00000253127	28880
immunoglobulin kappa variable 2D-38 (pseudogene)	Approved		2p11.2	X71892	NG_000833		ENSG00000254009	28879
immunoglobulin kappa variable 2D-40	Approved		2p11.2	X59311	NG_000833		ENSG00000251039	28878
immunoglobulin kappa variable 2/OR2-1 (pseudogene)	Approved	IGKV2OR2-1A	2q11.2	X05101			ENSG00000270748	28861
symbol withdrawn, see IGKV2OR2-1	Symbol Withdrawn							
immunoglobulin kappa variable 2/OR2-2 (pseudogene)	Approved		2q11.2	X51884			ENSG00000271402	28859
immunoglobulin kappa variable 2/OR2-4 (pseudogene)	Approved		2q11.2	X51883				28858
immunoglobulin kappa variable 2/OR2-7 (pseudogene)	Approved		2q11.2	X51881	NG_011671		ENSG00000270450	652873
immunoglobulin kappa variable 2/OR2-7D (pseudogene)	Approved		2q11.2	X51881			ENSG00000271015	100310869
immunoglobulin kappa variable 2/OR2-8 (pseudogene)	Approved		2q11.2	X51880	NG_011662		ENSG00000278537	100996600
immunoglobulin kappa variable 2/OR2-10 (pseudogene)	Approved		2q11.2	X51886	NG_011661		ENSG00000276050	28855
immunoglobulin kappa variable 2/OR22-3 (pseudogene)	Approved	IGKVP4	22q11.1	Z00041			ENSG00000253460	3529
immunoglobulin kappa variable 2/OR22-4 (pseudogene)	Approved	IGKVP6	22q11.1	M20707			ENSG00000253691	28847
immunoglobulin kappa variable 3-7 (non-functional)	Approved		2p11.2	X02725	NG_000834		ENSG00000243063	28915
immunoglobulin kappa variable 3-11	Approved		2p11.2	X01668	NG_000834		ENSG00000241351	28914
immunoglobulin kappa variable 3-15	Approved		2p11.2	M23090	NG_000834		ENSG00000244437	28913
immunoglobulin kappa variable 3-20	Approved		2p11.2	X12686	NG_000834		ENSG00000239951	28912
immunoglobulin kappa variable 3-25 (pseudogene)	Approved		2p11.2	X06583	NG_000834		ENSG00000253202	28911
immunoglobulin kappa variable 3-31 (pseudogene)	Approved		2p11.2	X71883	NG_000834		ENSG00000253158	28910
immunoglobulin kappa variable 3-34 (pseudogene)	Approved		2p11.2	X71891	NG_000834		ENSG00000253860	28909
immunoglobulin kappa variable 3D-7	Approved		2p11.2	X72820	NG_000833		ENSG00000228325	28877
immunoglobulin kappa variable 3D-11	Approved		2p11.2	X17264	NG_000833		ENSG00000211632	28876
immunoglobulin kappa variable 3D-15 (gene/pseudogene)	Approved		2p11.2	X72815	NG_000833		ENSG00000224041	28875
immunoglobulin kappa variable 3D-20	Approved		2p11.2	X12687	NG_000833		ENSG00000211625	28874
immunoglobulin kappa variable 3D-25 (pseudogene)	Approved		2p11.2	X71886	NG_000833		ENSG00000254097	28873
immunoglobulin kappa variable 3D-31 (pseudogene)	Approved		2p11.2	X71896	NG_000833		ENSG00000253999	28872
immunoglobulin kappa variable 3D-34 (pseudogene)	Approved		2p11.2	X71895	NG_000833		ENSG00000253501	28871
immunoglobulin kappa variable 3/OR2-5 (pseudogene)	Approved		2q11.2	X51882			ENSG00000270252	28854
immunoglobulin kappa variable 3/OR2-268 (non-functional)	Approved	IGKV268, IGKV3OR2-268A	2p12	X74459			ENSG00000233999	3523
immunoglobulin kappa variable 3/OR22-2 (pseudogene)	Approved	IGKVP3	22q11.1	Z00042			ENSG00000254264	3527
immunoglobulin kappa variable 4-1	Approved		2p11.2	Z00023	NG_000834		ENSG00000211598	28908
immunoglobulin kappa variable 5-2	Approved		2p11.2	X02485	NG_000834		ENSG00000211599	28907
immunoglobulin kappa variable 6-21 (non-functional)	Approved		2p11.2	X63399	NG_000834		ENSG00000211611	28906
immunoglobulin kappa variable 6D-21 (non-functional)	Approved		2p11.2	X12683	NG_000833		ENSG00000225523	28870
immunoglobulin kappa variable 6D-41 (non-functional)	Approved		2p11.2	X12688	NG_000833		ENSG00000211626	28869
immunoglobulin kappa variable 7-3 (pseudogene)	Approved		2p11.2	X12682	NG_000834		ENSG00000197794	28905
symbol withdrawn, see IGKV3OR2-268	Symbol Withdrawn							
symbol withdrawn, see IGKV1OR1-1	Symbol Withdrawn							
symbol withdrawn, see IGKV1OR15-118	Symbol Withdrawn							
symbol withdrawn, see IGKV3OR22-2	Symbol Withdrawn							
symbol withdrawn, see IGKV2OR22-3	Symbol Withdrawn							
